Ngram,Count
productimages/processed,15125
/productimages,15125
clearance/c,12302
clearance/clearance,12280
c/9000000388,12279
p/clearance,12063
/store-finder,5269
/en,5163
en/kaystore,5130
store-finder/find,4988
bopis/pdp,4988
find/bopis,4988
/book-appointment,3800
book-appointment/answers,3762
/videos,2220
/,1503
videos/p,1409
/p,1093
/store,1088
/rings,999
/earrings,992
/clearance,936
/wedding,908
/engagement,904
/bracelets,903
/personalized,886
c/9000001692,869
every-moment-collections/c,869
collections/every-moment-collections,868
/gift-ideas,862
/watches,845
kaystore/r6-rings-101488--1,809
p/collections,808
/collections,793
/l,745
videos/a,666
/customer-care,635
/payments,590
/get-it-today,576
/necklace-jewelry,568
/c,495
/necklaces,471
/privacy-policy,465
/virtual-consultation,382
/engagement-rings,381
engagement/c,379
c/9000000001,376
p/V-15123,366
kay-egift-card/p,360
/kay-egift-card,360
l/best-sellers,349
/kay-safe-shipping,349
/vault-rewards,335
best-sellers/womens-wedding-anniversary-best-sellers,318
kaystore/engagement---wedding,317
p/l,309
kaystore/r6-necklaces-101489--1,274
c/9000000931,246
/_ui,243
p/armani-exchange,217
/coupons-offers-and-deals,195
c/9000000930,177
kaystore/diamonds---gemstones,174
diamond-engagement-ring-13-ct-tw-roundcut-10k-white-gold/p,163
/diamond-engagement-ring-13-ct-tw-roundcut-10k-white-gold,163
c/9000001117,142
101488/101488.101495,140
diamond-engagement-ring-1-ct-tw-roundcut-14k-white-gold/p,139
/diamond-engagement-ring-1-ct-tw-roundcut-14k-white-gold,139
kaystore/cms,137
stores/servlet,136
wcs/stores,136
webapp/wcs,136
/webapp,136
l/necklaces,136
appreciation-sale/c,135
diamond-engagement-ring-14-ct-tw-roundcut-10k-white-gold/p,135
/diamond-engagement-ring-14-ct-tw-roundcut-10k-white-gold,135
/appreciation-sale,135
/scripts,134
_ui/v2022100200,133
blue-white-labcreated-sapphire-ring-sterling-silver/p,132
/blue-white-labcreated-sapphire-ring-sterling-silver,132
/kay-mens-jewelry-collection,130
-gaeitems/c,127
c/9000000923,127
kaystore/r6-earrings-101491--1,126
c/9000001731,125
/diamond-engagement-ring-34-ct-tw-roundcut-14k-white-gold,123
videos/v,123
c/9000000417,123
diamond-engagement-ring-34-ct-tw-roundcut-14k-white-gold/p,123
mens-jewelry-collections/c,120
collections/mens-jewelry-collections,120
birthstone-family-mothers-ring/p,119
/birthstone-family-mothers-ring,119
/diamond-engagement-ring-12-ct-tw-roundcut-10k-white-gold,118
diamond-engagement-ring-12-ct-tw-roundcut-10k-white-gold/p,118
kaystore/searchterm,113
responsive/theme-kay,113
l/bracelets,112
/diamond-wedding-band-14-ct-tw-roundcut-14k-white-gold,110
diamond-wedding-band-14-ct-tw-roundcut-14k-white-gold/p,110
New/0,105
diamond-engagement-ring-38-ct-tw-roundcut-10k-white-gold/p,104
/diamond-engagement-ring-38-ct-tw-roundcut-10k-white-gold,104
diamond-engagement-ring-58-ct-tw-roundcut-14k-white-gold/p,103
/diamond-engagement-ring-58-ct-tw-roundcut-14k-white-gold,103
l/earrings,100
c/9000001010,100
0/New,96
diamond-engagement-ring-78-ct-tw-roundcut-14k-white-gold/p,96
/diamond-engagement-ring-78-ct-tw-roundcut-14k-white-gold,96
gift-ideas/anniversary-and-wedding-gifts,95
p/-gaeitems,94
/promotions,93
101488/101488.101496,92
buy-more-save-more-sale/c,91
/buy-more-save-more-sale,91
/diamond-wedding-band-15-ct-tw-roundcut-14k-white-gold,87
diamond-wedding-band-15-ct-tw-roundcut-14k-white-gold/p,87
/neil-lane-diamond-wedding-band-14-ct-tw-14k-white-gold,86
neil-lane-diamond-wedding-band-14-ct-tw-14k-white-gold/p,86
c/9000000311,85
100006/100006.100007.100010,83
/diamond-engagement-ring-12-ct-tw-roundcut-14k-white-gold,83
diamond-engagement-ring-12-ct-tw-roundcut-14k-white-gold/p,83
bridal-sale/c,82
/bridal-sale,82
diamond-wedding-band-18-ct-tw-roundcut-14k-white-gold/p,82
/diamond-wedding-band-18-ct-tw-roundcut-14k-white-gold,82
/diamond-wedding-band-16-ct-tw-roundcut-14k-white-gold,81
c/9000001340,81
diamond-wedding-band-16-ct-tw-roundcut-14k-white-gold/p,81
/kay-returns-exchanges,81
promotions/-exclusions,81
/diamond-enhancer-ring-12-ct-tw-roundcut-14k-white-gold,80
diamond-enhancer-ring-12-ct-tw-roundcut-14k-white-gold/p,80
/diamond-wedding-band-115-ct-tw-roundcut-10k-white-gold,78
diamond-wedding-band-115-ct-tw-roundcut-10k-white-gold/p,78
/stackable-ring-sterling-silver,77
stackable-ring-sterling-silver/p,77
previously-owned-ring-1-ct-tw-diamonds-14k-white-gold/p,74
/previously-owned-ring-1-ct-tw-diamonds-14k-white-gold,74
/-bridalpromo,73
birthstone-ring/p,73
-bridalpromo/c,73
/birthstone-ring,73
c/9000000868,73
collections/le-vian-collections,72
le-vian-collections/c,72
v2022100200/responsive,71
%7e/%7e,71
/amasswatchimages,67
amasswatchimages/processed,67
/select-clearance-sale,66
select-clearance-sale/c,66
c/9000001753,66
previously-owned-ring-12-ct-tw-diamonds-14k-white-gold/p,66
/previously-owned-ring-12-ct-tw-diamonds-14k-white-gold,66
shared/js,65
neil-lane-diamond-wedding-band-13-ct-tw-roundcut-14k-white-gold/p,64
/neil-lane-diamond-wedding-band-13-ct-tw-roundcut-14k-white-gold,64
/previously-owned-diamond-engagement-ring-1-ct-tw-roundcut-14k-white-gold,64
previously-owned-diamond-engagement-ring-1-ct-tw-roundcut-14k-white-gold/p,64
c/clearance,63
labcreated-emerald-white-labcreated-sapphire-necklace-sterling-silver-18/p,63
kaystore/r6-bracelets-101490--1,63
/labcreated-emerald-white-labcreated-sapphire-necklace-sterling-silver-18,63
previously-owned-diamond-wedding-band-14-ct-tw-roundcut-14k-white-gold/p,62
/previously-owned-diamond-wedding-band-14-ct-tw-roundcut-14k-white-gold,62
v2022100200/shared,62
neil-lane-diamond-wedding-band-13-ct-tw-14k-white-gold/p,62
/neil-lane-diamond-wedding-band-13-ct-tw-14k-white-gold,62
necklaces/collections,61
/fashion-jewelry-sale,61
/credit-landing,61
fashion-jewelry-sale/c,61
scripts/assets,60
common/images,59
/color-stone-family-ring,57
color-stone-family-ring/p,57
/blue-white-labcreated-sapphire-necklace-sterling-silver-18,57
blue-white-labcreated-sapphire-necklace-sterling-silver-18/p,57
/wedding-band-10k-white-gold-6mm,56
wedding-band-10k-white-gold-6mm/p,56
100006/100006.100007.100011,55
en/jaredstore,55
c/collections,54
-gaeall/c,54
p/1-800-742-5877,54
/-gaeall,54
/hoop-earrings-14k-yellow-gold-20mm,53
/white-labcreated-sapphire-necklace-sterling-silver-18,53
labcreated-ruby-white-labcreated-sapphire-necklace-sterling-silver-18/p,53
white-labcreated-sapphire-necklace-sterling-silver-18/p,53
hoop-earrings-14k-yellow-gold-20mm/p,53
l/rings,53
l/wedding,53
/labcreated-ruby-white-labcreated-sapphire-necklace-sterling-silver-18,53
previously-owned-diamond-enhancer-ring-12-ct-tw-roundcut-14k-white-gold/p,52
/previously-owned-diamond-enhancer-ring-12-ct-tw-roundcut-14k-white-gold,52
color-stone-family-heart-necklace/p,52
/color-stone-family-heart-necklace,52
/white-labcreated-sapphire-ring-sterling-silver,50
white-labcreated-sapphire-ring-sterling-silver/p,50
earrings/collections,50
101488/101488.101501,50
diamond-wedding-band-110-ct-tw-roundcut-10k-white-gold/p,49
/dangle-earrings-sterling-silver,49
/diamond-wedding-band-110-ct-tw-roundcut-10k-white-gold,49
dangle-earrings-sterling-silver/p,49
/diamond-promise-ring-16-ct-tw-roundcut-10k-white-gold,48
diamond-promise-ring-16-ct-tw-roundcut-10k-white-gold/p,48
101488/101488,48
/pick-up-in-store,48
previously-owned-diamond-wedding-band-15-ct-tw-roundcut-14k-white-gold/p,48
/previously-owned-diamond-wedding-band-15-ct-tw-roundcut-14k-white-gold,48
kaystore/gold--silver---other-jewelry,48
js/components,48
c/9000001695,47
101489/101489,47
previously-owned-diamond-enhancer-ring-14-ct-tw-roundcut-14k-white-gold/p,46
/color-stone-family-necklace,46
hoop-earrings-14k-yellow-gold/p,46
diamond-anniversary-band-1-ct-tw-roundcut-14k-white-gold/p,46
/hoop-earrings-14k-yellow-gold,46
color-stone-family-necklace/p,46
/diamond-anniversary-band-1-ct-tw-roundcut-14k-white-gold,46
/diamond-wedding-band-115-ct-tw-roundcut-14k-white-gold,46
responsive/common,46
diamond-wedding-band-115-ct-tw-roundcut-14k-white-gold/p,46
color-stone-couples-ring/p,46
/color-stone-couples-ring,46
diamond-engagement-ring-58-ct-tw-roundcut-14k-rose-gold/p,46
diamond-promise-ring-15-ct-tw-roundcut-sterling-silver/p,46
/diamond-engagement-ring-58-ct-tw-roundcut-14k-rose-gold,46
/previously-owned-diamond-enhancer-ring-14-ct-tw-roundcut-14k-white-gold,46
/diamond-promise-ring-15-ct-tw-roundcut-sterling-silver,46
/images,45
/tissot-tsport-mens-watch,45
tissot-tsport-mens-watch/p,45
previously-owned-rolex-datejust-mens-watch/p,45
/previously-owned-rolex-datejust-mens-watch,45
/neil-lane-engagement-ring-1-ct-tw-diamonds-14k-white-gold,45
neil-lane-engagement-ring-1-ct-tw-diamonds-14k-white-gold/p,45
c/9000000346,45
/appo,44
101488/101488.101499,44
/select-clearance-promo,44
l/trends,44
images/products,44
/previously-owned-diamond-anniversary-band-12-ct-tw-roundcut-14k-white-gold,44
previously-owned-diamond-anniversary-band-12-ct-tw-roundcut-14k-white-gold/p,44
select-clearance-promo/c,44
c/9000001564,44
diamond-wedding-band-12-ct-tw-roundcut-14k-white-gold/p,43
hoop-earrings-sterling-silver/p,43
/hoop-earrings-sterling-silver,43
/diamond-wedding-band-12-ct-tw-roundcut-14k-white-gold,43
/labcreated-ruby-ring-labcreated-sapphires-sterling-silver,43
labcreated-ruby-ring-labcreated-sapphires-sterling-silver/p,43
diamond-enhancer-ring-1-ct-tw-roundcut-14k-white-gold/p,43
diamond-engagement-ring-1-ct-tw-roundcut-14k-yellow-gold/p,43
/diamond-engagement-ring-1-ct-tw-roundcut-14k-yellow-gold,43
/cross-charm-14k-yellow-gold,43
cross-charm-14k-yellow-gold/p,43
/diamond-enhancer-ring-1-ct-tw-roundcut-14k-white-gold,43
personalized/c,43
/lifetime-protection-plan,42
/new-arrivals,42
birthstone-couples-ring/p,42
/birthstone-couples-ring,42
/diamond-promise-ring-16-ct-tw-roundcut-sterling-silver,41
all-new-arrivals/c,41
c/9000001782,41
themes/kay,41
assets/themes,41
neil-lane-wedding-band-15-ct-tw-diamonds-14k-white-gold/p,41
diamond-promise-ring-16-ct-tw-roundcut-sterling-silver/p,41
/all-new-arrivals,41
/neil-lane-wedding-band-15-ct-tw-diamonds-14k-white-gold,41
c/9000001537,40
gift-ideas/jewelry-boxes-gift-ideas,40
neil-lane-diamond-wedding-band-15-ct-tw-roundcut-14k-white-gold/p,40
/neil-lane-diamond-wedding-band-15-ct-tw-roundcut-14k-white-gold,40
c/9000000415,40
jewelry-boxes-gift-ideas/c,40
previously-owned-diamond-engagement-ring-34-ct-tw-roundcut-14k-white-gold/p,40
c/9000000008,40
l/watches,40
-exclusions/solitaire-rings-sale,40
solitaire-rings-sale/c,40
/previously-owned-diamond-engagement-ring-34-ct-tw-roundcut-14k-white-gold,40
diamond-enhancer-ring-14-ct-tw-roundcut-14k-white-gold/p,39
/diamond-enhancer-ring-14-ct-tw-roundcut-14k-white-gold,39
previously-owned-diamond-wedding-band-16-ct-tw-roundcut-14k-white-gold/p,39
cultured-pearl-necklace-labcreated-sapphires-sterling-silver/p,39
/previously-owned-diamond-wedding-band-16-ct-tw-roundcut-14k-white-gold,39
/forever-cherished-lifetime-protection-plan,39
